Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,+FC_dummy,FC_dummy,TS_dummy,GR_dummy,RA_dummy,DZ_dummy,SN_dummy,SG_dummy,GS_dummy,PL_dummy,IC_dummy,FG+_dummy,FG_dummy,BR_dummy,UP_dummy,HZ_dummy,FU_dummy,VA_dummy,DU_dummy,DS_dummy,PO_dummy,SA_dummy,SS_dummy,PY_dummy,SQ_dummy,DR_dummy,SH_dummy,FZ_dummy,MI_dummy,PR_dummy,BC_dummy,BL_dummy,VC_dummy
2007-05-01,0.6697325400564643,-0.6687090727725075,0.03598767778898229,-0.2376558325349911,-0.2798740566063675,-0.5499327676318088,-0.48022952535447494,0.0,0.0,-0.3538778401064984,-0.8632731020975832,-0.9048937566909392,-1.1799449036075214,0.7743811855691953,0.32634563953259754,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,-0.3467614903682866,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-02,-1.4322851549608397,-1.5422111232645384,-1.533255981347097,-1.0803925748860523,-1.3623086633446058,1.7141622068523332,-0.9581861591082187,0.0,0.0,-0.3538778401064984,0.7921627213055148,0.7339522520198191,1.7739307734507634,-1.5488309915358713,1.5504098581938597,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,1.6314691361740674,0.0,2.8838265717970164,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-03,-0.8191966605807928,-1.0569322063245212,-0.9626219234794319,-1.2676674065196214,-1.0375782813231342,0.66919529555196,-0.9581861591082187,0.0,0.0,-0.3538778401064984,0.9195039384903649,0.9860824072061085,1.6624637667693187,-1.1447940911697727,1.4859854256327403,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,2.8838265717970164,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-04,0.14422811630213828,-0.7657648561605109,-0.2968821893004891,-1.0803925748860523,-1.0375782813231342,-0.5499327676318088,-0.9581861591082187,0.0,0.0,-0.3538778401064984,0.2827978525660913,0.481822096833552,0.8821947199992056,-1.043784866078248,0.5840433697770739,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,-0.3467614903682866,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-05,-0.9067807312065138,-0.47459750599650063,-0.724857732701238,-1.361304822336406,-1.0375782813231342,0.320872991785169,-0.9581861591082187,0.0,0.0,-0.3401048520671349,0.9195039384903649,0.7969847908163971,1.1887289883731784,-1.043784866078248,0.9383777488632286,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,-0.3467614903682866,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-06,-0.7316125899550717,-0.6687090727725075,-0.724857732701238,-2.204041564687467,-1.4705521240184296,0.320872991785169,-0.9581861591082187,0.0,0.0,-0.3538778401064984,1.9382336759691894,1.994603027951199,1.9132645318025694,-0.7407571908036742,1.9047442372800143,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,-0.3467614903682866,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-07,0.6697325400564643,-0.8628206395485144,-0.05911799852229525,-1.361304822336406,-0.7128478993016628,-0.5499327676318088,-0.6395484032723895,0.0,0.0,-0.3538778401064984,0.7921627213055148,0.9860824072061085,0.4363266932734268,-0.03369261516300173,0.4229822883742763,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,-0.3467614903682866,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-08,0.3193962575535803,0.10773719433152003,0.22619903041153736,0.32416866236571634,0.3695867074365754,-0.5499327676318088,-0.16159176951864573,0.0,0.0,-0.3401048520671349,0.2827978525660913,0.35575701924041847,-1.2356784069482438,-0.9427756409867234,-1.026567444250902,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,-0.6129444791981076,0.0,2.8838265717970164,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-09,-0.030940024949303726,0.39890454449553037,0.1786461922558986,0.6050809098160701,0.3695867074365754,-0.5499327676318088,-0.16159176951864573,0.0,0.0,-0.29878588794904454,-0.22656701617330957,-0.2115358299286936,-0.8455438835631873,-1.043784866078248,-0.8655063628481046,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,1.6314691361740674,0.0,2.8838265717970164,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
2007-05-10,0.5821484694307433,0.010681410943516594,0.3213047067228149,-0.1440184167182065,0.15309978608892777,-0.5499327676318088,-0.002272891600731131,0.0,0.0,-0.3538778401064984,-0.3539082333581598,-0.33760090752182714,-1.3750121653000495,-0.8417664158951988,-1.509750688459295,0.0,0.0,-0.3720722264372894,-0.026073159633943042,-0.7292035197069237,-0.2317034117342808,-0.05838078700867157,0.0,0.0,0.0,0.0,-0.08677032709753535,-0.11126384123284262,1.6314691361740674,0.0,2.8838265717970164,-0.05219957509718805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,0.0,0.0,0.0,0.0,-0.03688555567816588,0.0,-0.10146490513094991
